# LAMMPS data file written by OVITO Basic 3.5.4
16848 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.0000 0.0000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

299 2 0.0 7.5156579 0.0 18.82707867
300 2 0.0 18.82707867 0.0 7.5156579
301 2 0.0 7.5156579 20.68663104 13.17176343
302 2 0.0 18.82707867 5.65610553 13.17176343
303 2 0.0 18.82707867 20.68663104 13.17176343
304 2 0.0 7.5156579 5.65610553 13.17176343
305 2 0.0 0.0 20.68663104 20.68663104
306 2 0.0 0.0 5.65610553 5.65610553
307 2 0.0 0.0 5.65610553 20.68663104
308 2 0.0 0.0 20.68663104 5.65610553
309 2 0.0 7.5156579 13.17176343 20.68663104
310 2 0.0 18.82707867 13.17176343 5.65610553
311 2 0.0 7.5156579 13.17176343 5.65610553
312 2 0.0 18.82707867 13.17176343 20.68663104
313 2 0.0 20.68663104 7.5156579 13.17176343
314 2 0.0 5.65610553 18.82707867 13.17176343
315 2 0.0 5.65610553 7.5156579 13.17176343
316 2 0.0 20.68663104 18.82707867 13.17176343
317 2 0.0 13.17176343 7.5156579 20.68663104
318 2 0.0 13.17176343 18.82707867 5.65610553
319 2 0.0 13.17176343 18.82707867 20.68663104
320 2 0.0 13.17176343 7.5156579 5.65610553
321 2 0.0 20.68663104 0.0 20.68663104
322 2 0.0 5.65610553 0.0 5.65610553
323 2 0.0 20.68663104 0.0 5.65610553
324 2 0.0 5.65610553 0.0 20.68663104
325 2 0.0 20.68663104 20.68663104 0.0
326 2 0.0 5.65610553 5.65610553 0.0
327 2 0.0 5.65610553 20.68663104 0.0
328 2 0.0 20.68663104 5.65610553 0.0
329 2 0.0 13.17176343 20.68663104 7.5156579
330 2 0.0 13.17176343 5.65610553 18.82707867
331 2 0.0 13.17176343 5.65610553 7.5156579
332 2 0.0 13.17176343 20.68663104 18.82707867
333 2 0.0 20.68663104 13.17176343 7.5156579
334 2 0.0 5.65610553 13.17176343 18.82707867
335 2 0.0 20.68663104 13.17176343 18.82707867
336 2 0.0 5.65610553 13.17176343 7.5156579
337 3 0.0 10.01613546 6.006204 23.1871086
338 3 0.0 16.3273914 20.33732286 23.1871086
339 3 0.0 16.3273914 6.006204 3.15562797
340 3 0.0 10.01613546 20.33732286 3.15562797
341 3 0.0 23.1871086 10.01613546 6.006204
342 3 0.0 23.1871086 16.3273914 20.33732286
343 3 0.0 3.15562797 16.3273914 6.006204
344 3 0.0 3.15562797 10.01613546 20.33732286
345 3 0.0 6.006204 23.1871086 10.01613546
346 3 0.0 20.33732286 23.1871086 16.3273914
347 3 0.0 6.006204 3.15562797 16.3273914
348 3 0.0 20.33732286 3.15562797 10.01613546
349 3 0.0 6.006204 10.01613546 3.15562797
350 3 0.0 20.33732286 16.3273914 3.15562797
351 3 0.0 6.006204 16.3273914 23.1871086
352 3 0.0 20.33732286 10.01613546 23.1871086
353 3 0.0 10.01613546 23.1871086 20.33732286
354 3 0.0 16.3273914 23.1871086 6.006204
355 3 0.0 16.3273914 3.15562797 20.33732286
356 3 0.0 10.01613546 3.15562797 6.006204
357 3 0.0 23.1871086 6.006204 16.3273914
358 3 0.0 23.1871086 20.33732286 10.01613546
359 3 0.0 3.15562797 6.006204 10.01613546
360 3 0.0 3.15562797 20.33732286 16.3273914
361 3 0.0 16.3273914 20.33732286 3.15562797
362 3 0.0 10.01613546 6.006204 3.15562797
363 3 0.0 10.01613546 20.33732286 23.1871086
364 3 0.0 16.3273914 6.006204 23.1871086
365 3 0.0 3.15562797 16.3273914 20.33732286
366 3 0.0 3.15562797 10.01613546 6.006204
367 3 0.0 23.1871086 10.01613546 20.33732286
368 3 0.0 23.1871086 16.3273914 6.006204
369 3 0.0 20.33732286 3.15562797 16.3273914
370 3 0.0 6.006204 3.15562797 10.01613546
371 3 0.0 20.33732286 23.1871086 10.01613546
372 3 0.0 6.006204 23.1871086 16.3273914
373 3 0.0 20.33732286 16.3273914 23.1871086
374 3 0.0 6.006204 10.01613546 23.1871086
375 3 0.0 20.33732286 10.01613546 3.15562797
376 3 0.0 6.006204 16.3273914 3.15562797
377 3 0.0 16.3273914 3.15562797 6.006204
378 3 0.0 10.01613546 3.15562797 20.33732286
379 3 0.0 10.01613546 23.1871086 6.006204
380 3 0.0 16.3273914 23.1871086 20.33732286
381 3 0.0 3.15562797 20.33732286 10.01613546
382 3 0.0 3.15562797 6.006204 16.3273914
383 3 0.0 23.1871086 20.33732286 16.3273914
384 3 0.0 23.1871086 6.006204 10.01613546
385 3 0.0 10.01613546 19.17796743 10.01613546
386 3 0.0 16.3273914 7.16476914 10.01613546
387 3 0.0 16.3273914 19.17796743 16.3273914
388 3 0.0 10.01613546 7.16476914 16.3273914
389 3 0.0 23.1871086 23.1871086 19.17796743
390 3 0.0 23.1871086 3.15562797 7.16476914
391 3 0.0 3.15562797 3.15562797 19.17796743
392 3 0.0 3.15562797 23.1871086 7.16476914
393 3 0.0 10.01613546 10.01613546 7.16476914
394 3 0.0 16.3273914 10.01613546 19.17796743
395 3 0.0 16.3273914 16.3273914 7.16476914
396 3 0.0 10.01613546 16.3273914 19.17796743
397 3 0.0 23.1871086 19.17796743 3.15562797
398 3 0.0 23.1871086 7.16476914 23.1871086
399 3 0.0 3.15562797 19.17796743 23.1871086
400 3 0.0 3.15562797 7.16476914 3.15562797
401 3 0.0 16.3273914 7.16476914 16.3273914
402 3 0.0 10.01613546 19.17796743 16.3273914
403 3 0.0 10.01613546 7.16476914 10.01613546
404 3 0.0 16.3273914 19.17796743 10.01613546
405 3 0.0 3.15562797 3.15562797 7.16476914
406 3 0.0 3.15562797 23.1871086 19.17796743
407 3 0.0 23.1871086 23.1871086 7.16476914
408 3 0.0 23.1871086 3.15562797 19.17796743
409 3 0.0 16.3273914 16.3273914 19.17796743
410 3 0.0 10.01613546 16.3273914 7.16476914
411 3 0.0 10.01613546 10.01613546 19.17796743
412 3 0.0 16.3273914 10.01613546 7.16476914
413 3 0.0 3.15562797 7.16476914 23.1871086
414 3 0.0 3.15562797 19.17796743 3.15562797
415 3 0.0 23.1871086 7.16476914 3.15562797
416 3 0.0 23.1871086 19.17796743 23.1871086
417 3 0.0 19.17796743 23.1871086 23.1871086
418 3 0.0 7.16476914 23.1871086 3.15562797
419 3 0.0 19.17796743 3.15562797 3.15562797
420 3 0.0 7.16476914 3.15562797 23.1871086
421 3 0.0 19.17796743 10.01613546 16.3273914
422 3 0.0 7.16476914 16.3273914 16.3273914
423 3 0.0 19.17796743 16.3273914 10.01613546
424 3 0.0 7.16476914 10.01613546 10.01613546
425 3 0.0 7.16476914 3.15562797 3.15562797
426 3 0.0 19.17796743 3.15562797 23.1871086
427 3 0.0 7.16476914 23.1871086 23.1871086
428 3 0.0 19.17796743 23.1871086 3.15562797
429 3 0.0 7.16476914 16.3273914 10.01613546
430 3 0.0 19.17796743 10.01613546 10.01613546
431 3 0.0 7.16476914 10.01613546 16.3273914
432 3 0.0 19.17796743 16.3273914 16.3273914
433 4 0.0 8.33993037 6.40371987 24.96763197
434 4 0.0 18.0028062 19.9390167 24.96763197
435 4 0.0 18.0028062 6.40371987 1.3751046
436 4 0.0 8.33993037 19.9390167 1.3751046
437 4 0.0 24.96763197 8.33993037 6.40371987
438 4 0.0 24.96763197 18.0028062 19.9390167
439 4 0.0 1.3751046 18.0028062 6.40371987
440 4 0.0 1.3751046 8.33993037 19.9390167
441 4 0.0 6.40371987 24.96763197 8.33993037
442 4 0.0 19.9390167 24.96763197 18.0028062
443 4 0.0 6.40371987 1.3751046 18.0028062
444 4 0.0 19.9390167 1.3751046 8.33993037
445 4 0.0 6.40371987 8.33993037 1.3751046
446 4 0.0 19.9390167 18.0028062 1.3751046
447 4 0.0 6.40371987 18.0028062 24.96763197
448 4 0.0 19.9390167 8.33993037 24.96763197
449 4 0.0 8.33993037 24.96763197 19.9390167
450 4 0.0 18.0028062 24.96763197 6.40371987
451 4 0.0 18.0028062 1.3751046 19.9390167
452 4 0.0 8.33993037 1.3751046 6.40371987
453 4 0.0 24.96763197 6.40371987 18.0028062
454 4 0.0 24.96763197 19.9390167 8.33993037
455 4 0.0 1.3751046 6.40371987 8.33993037
456 4 0.0 1.3751046 19.9390167 18.0028062
457 4 0.0 18.0028062 19.9390167 1.3751046
458 4 0.0 8.33993037 6.40371987 1.3751046
459 4 0.0 8.33993037 19.9390167 24.96763197
460 4 0.0 18.0028062 6.40371987 24.96763197
461 4 0.0 1.3751046 18.0028062 19.9390167
462 4 0.0 1.3751046 8.33993037 6.40371987
463 4 0.0 24.96763197 8.33993037 19.9390167
464 4 0.0 24.96763197 18.0028062 6.40371987
465 4 0.0 19.9390167 1.3751046 18.0028062
466 4 0.0 6.40371987 1.3751046 8.33993037
467 4 0.0 19.9390167 24.96763197 8.33993037
468 4 0.0 6.40371987 24.96763197 18.0028062
469 4 0.0 19.9390167 18.0028062 24.96763197
470 4 0.0 6.40371987 8.33993037 24.96763197
471 4 0.0 19.9390167 8.33993037 1.3751046
472 4 0.0 6.40371987 18.0028062 1.3751046
473 4 0.0 18.0028062 1.3751046 6.40371987
474 4 0.0 8.33993037 1.3751046 19.9390167
475 4 0.0 8.33993037 24.96763197 6.40371987
476 4 0.0 18.0028062 24.96763197 19.9390167
477 4 0.0 1.3751046 19.9390167 8.33993037
478 4 0.0 1.3751046 6.40371987 18.0028062
479 4 0.0 24.96763197 19.9390167 18.0028062
480 4 0.0 24.96763197 6.40371987 8.33993037
481 4 0.0 8.33993037 19.57469301 11.79586854
482 4 0.0 18.0028062 6.76804356 11.79586854
483 4 0.0 18.0028062 19.57469301 14.54686803
484 4 0.0 8.33993037 6.76804356 14.54686803
485 4 0.0 24.96763197 21.5116938 19.57469301
486 4 0.0 24.96763197 4.83104277 6.76804356
487 4 0.0 1.3751046 4.83104277 19.57469301
488 4 0.0 1.3751046 21.5116938 6.76804356
489 4 0.0 6.40371987 11.79586854 21.5116938
490 4 0.0 19.9390167 11.79586854 4.83104277
491 4 0.0 6.40371987 14.54686803 4.83104277
492 4 0.0 19.9390167 14.54686803 21.5116938
493 4 0.0 6.40371987 21.5116938 14.54686803
494 4 0.0 19.9390167 4.83104277 14.54686803
495 4 0.0 6.40371987 4.83104277 11.79586854
496 4 0.0 19.9390167 21.5116938 11.79586854
497 4 0.0 8.33993037 11.79586854 6.76804356
498 4 0.0 18.0028062 11.79586854 19.57469301
499 4 0.0 18.0028062 14.54686803 6.76804356
500 4 0.0 8.33993037 14.54686803 19.57469301
501 4 0.0 24.96763197 19.57469301 4.83104277
502 4 0.0 24.96763197 6.76804356 21.5116938
503 4 0.0 1.3751046 19.57469301 21.5116938
504 4 0.0 1.3751046 6.76804356 4.83104277
505 4 0.0 18.0028062 6.76804356 14.54686803
506 4 0.0 8.33993037 19.57469301 14.54686803
507 4 0.0 8.33993037 6.76804356 11.79586854
508 4 0.0 18.0028062 19.57469301 11.79586854
509 4 0.0 1.3751046 4.83104277 6.76804356
510 4 0.0 1.3751046 21.5116938 19.57469301
511 4 0.0 24.96763197 21.5116938 6.76804356
512 4 0.0 24.96763197 4.83104277 19.57469301
513 4 0.0 19.9390167 14.54686803 4.83104277
514 4 0.0 6.40371987 14.54686803 21.5116938
